nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
London,411,Administrative Occupations: Government and Related Organisations,,0.8083540270397764
London,412,Administrative Occupations: Finance,,0.8062381227794762
London,413,Administrative Occupations: Records,,0.8640578075616697
London,416,Administrative Occupations: Office Managers and Supervisors,,0.8817058096415328
London,421,Secretarial and Related Occupations,,0.6728044085241743
London,511,Agricultural and Related Trades,,0.7319446636158013
London,521,"Metal Forming, Welding and Related Trades",,1
London,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9566278876209148
London,523,Vehicle Trades,,0.8775855130784709
London,524,Electrical and Electronic Trades,,0.9544132394067929
London,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
London,531,Construction and Building Trades,,0.9347412540484592
London,532,Building Finishing Trades,,0.867356102871139
London,533,Construction and Building Trades Supervisors,,1
London,541,Textiles and Garments Trades,,0.5792697573865001
London,542,Printing Trades,,0.9215444212677195
London,543,Food Preparation and Hospitality Trades,,0.7264387414936467
London,544,Other Skilled Trades,,0.6272889682894149
London,612,Childcare and Related Personal Services,,0.613910971031575
London,613,Animal Care and Control Services,,0.9443116634799236
London,614,Caring Personal Services,,0.6620409497782247
London,621,Leisure and Travel Services,,0.7360472827541273
London,622,Hairdressers and Related Services,,0.49731185153351637
London,711,Sales Assistants and Retail Cashiers,,0.3425423462540908
London,712,Sales Related Occupations,,0.7586993257099732
London,713,Sales Supervisors,,0.859738694742183
London,721,Customer Service Occupations,,0.6635710124973523
London,722,Customer Service Managers and Supervisors,,0.9256811645113838
North East,222,Therapy Professionals,,0.39977242556419496
North East,223,Nursing and Midwifery Professionals,,0.7776053479766026
North East,231,Teaching and Educational Professionals,,0.7771029078376643
North East,241,Legal Professionals,,0.9005671952772312
North East,242,"Business, Research and Administrative Professionals",,0.8449518373171602
North East,243,"Architects, Town Planners and Surveyors",,0.979495767890282
North East,244,Welfare Professionals,,0.9125055236411843
North East,245,Librarians and Related Professionals,Using England figure,0.5602387004088849
North East,246,Quality and Regulatory Professionals,,0.8825325732899023
North East,247,Media Professionals,,0.9319270239452679
North East,311,"Science, Engineering and Production Technicians",,0.9355377524822914
North East,312,Draughtspersons and Related Architectural Technicians,,1
North East,313,Information Technology Technicians,,0.8617685152478511
North East,321,Health Associate Professionals,,0.7732805483337273
North East,323,Welfare and Housing Associate Professionals,,0.7283661074027302
North East,331,Protective Service Occupations,,0.9550874505298098
North East,341,"Artistic, Literary and Media Occupations",,0.8392618347151645
North East,342,Design Occupations,,1
North East,344,Sports and Fitness Occupations,,0.6256195462478185
North East,352,Legal Associate Professionals,,0.5952664736931721
North East,353,"Business, Finance and Related Associate Professionals",,0.9233741615631379
North East,354,"Sales, Marketing and Related Associate Professionals",,0.7768822219734567
North East,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
North East,356,Public Services and Other Associate Professionals,,0.7414075063370492
North East,411,Administrative Occupations: Government and Related Organisations,,0.7146965660742449
North East,412,Administrative Occupations: Finance,,0.6619788425637835
North East,413,Administrative Occupations: Records,,0.8104774484285769
North East,416,Administrative Occupations: Office Managers and Supervisors,,0.7912699631449631
North East,421,Secretarial and Related Occupations,,0.5336087008201593
North East,511,Agricultural and Related Trades,,0.8286219862862199
North East,521,"Metal Forming, Welding and Related Trades",,1
North East,522,"Metal Machining, Fitting and Instrument Making Trades",,0.988696420846734
North East,523,Vehicle Trades,,0.982017533495593
North East,524,Electrical and Electronic Trades,,0.9464556004036327
North East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
North East,531,Construction and Building Trades,,0.9275888608253569
North East,532,Building Finishing Trades,,0.804542069992554
North East,533,Construction and Building Trades Supervisors,,1
North East,541,Textiles and Garments Trades,Using England figure,0.7729112673248446
North East,542,Printing Trades,Using England figure,0.9447535558935767
North East,543,Food Preparation and Hospitality Trades,,0.8347716194258892
North East,544,Other Skilled Trades,,0.8226519337016575
North East,612,Childcare and Related Personal Services,,0.6609556871554013
North East,613,Animal Care and Control Services,Using England figure,0.6070559443443829
North East,614,Caring Personal Services,,0.622005371706399
North East,621,Leisure and Travel Services,,0.6503436883891938
North East,622,Hairdressers and Related Services,,0.5850441532144665
North East,711,Sales Assistants and Retail Cashiers,,0.31417813644347
North East,712,Sales Related Occupations,,0.6694108223567106
North East,713,Sales Supervisors,,0.7545422576485757
North East,721,Customer Service Occupations,,0.5991755976916735
North East,722,Customer Service Managers and Supervisors,,0.9536648513525579
North West (inc Merseyside),222,Therapy Professionals,,0.6656639004149377
North West (inc Merseyside),223,Nursing and Midwifery Professionals,,0.7407252780866481
North West (inc Merseyside),231,Teaching and Educational Professionals,,0.7978211361103484
North West (inc Merseyside),241,Legal Professionals,,0.7675060093785712
North West (inc Merseyside),242,"Business, Research and Administrative Professionals",,0.8927916719258071
North West (inc Merseyside),243,"Architects, Town Planners and Surveyors",,0.9365222832510602
North West (inc Merseyside),244,Welfare Professionals,,0.7842162641586135
North West (inc Merseyside),245,Librarians and Related Professionals,Using England figure,0.5602387004088849
North West (inc Merseyside),246,Quality and Regulatory Professionals,,0.88572558323448
North West (inc Merseyside),247,Media Professionals,,0.8466771546409286
North West (inc Merseyside),311,"Science, Engineering and Production Technicians",,0.9611248365063217
North West (inc Merseyside),312,Draughtspersons and Related Architectural Technicians,,0.651129539605376
North West (inc Merseyside),313,Information Technology Technicians,,0.9207259981273858
North West (inc Merseyside),321,Health Associate Professionals,,0.7110802596525458
North West (inc Merseyside),323,Welfare and Housing Associate Professionals,,0.7086056235759534
North West (inc Merseyside),331,Protective Service Occupations,,0.9598245025512456
North West (inc Merseyside),341,"Artistic, Literary and Media Occupations",,0.6303875697815092
North West (inc Merseyside),342,Design Occupations,,0.9229260935143289
North West (inc Merseyside),344,Sports and Fitness Occupations,,0.5367154660095667
North West (inc Merseyside),352,Legal Associate Professionals,,0.8655885116091799
North West (inc Merseyside),353,"Business, Finance and Related Associate Professionals",,0.8654494741785373
North West (inc Merseyside),354,"Sales, Marketing and Related Associate Professionals",,0.9187623387885385
North West (inc Merseyside),355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
North West (inc Merseyside),356,Public Services and Other Associate Professionals,,0.8040867097710458
North West (inc Merseyside),411,Administrative Occupations: Government and Related Organisations,,0.7389554897934533
North West (inc Merseyside),412,Administrative Occupations: Finance,,0.6491226745020432
North West (inc Merseyside),413,Administrative Occupations: Records,,0.7049114524671092
North West (inc Merseyside),416,Administrative Occupations: Office Managers and Supervisors,,0.8032427906677186
North West (inc Merseyside),421,Secretarial and Related Occupations,,0.5344567594058659
North West (inc Merseyside),511,Agricultural and Related Trades,,0.8849527982058103
North West (inc Merseyside),521,"Metal Forming, Welding and Related Trades",,0.9149353081866121
North West (inc Merseyside),522,"Metal Machining, Fitting and Instrument Making Trades",,0.9923371647509579
North West (inc Merseyside),523,Vehicle Trades,,0.9511247879726009
North West (inc Merseyside),524,Electrical and Electronic Trades,,0.965703102188341
North West (inc Merseyside),525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
North West (inc Merseyside),531,Construction and Building Trades,,0.9151665616208821
North West (inc Merseyside),532,Building Finishing Trades,,0.9362190298443573
North West (inc Merseyside),533,Construction and Building Trades Supervisors,,1
North West (inc Merseyside),541,Textiles and Garments Trades,,0.8454855434630296
North West (inc Merseyside),542,Printing Trades,,0.9397548963463521
North West (inc Merseyside),543,Food Preparation and Hospitality Trades,,0.6820855433156535
North West (inc Merseyside),544,Other Skilled Trades,,0.8206311251810191
North West (inc Merseyside),612,Childcare and Related Personal Services,,0.6034966764119795
North West (inc Merseyside),613,Animal Care and Control Services,,0.5672319525530535
North West (inc Merseyside),614,Caring Personal Services,,0.6100254251025963
North West (inc Merseyside),621,Leisure and Travel Services,,0.5293084426895831
North West (inc Merseyside),622,Hairdressers and Related Services,,0.45070760374190455
North West (inc Merseyside),711,Sales Assistants and Retail Cashiers,,0.3410956457797153
North West (inc Merseyside),712,Sales Related Occupations,,0.8547233954877923
North West (inc Merseyside),713,Sales Supervisors,,0.8129745065132262
North West (inc Merseyside),721,Customer Service Occupations,,0.7742132130079078
North West (inc Merseyside),722,Customer Service Managers and Supervisors,,0.8761803860150168
Northern Ireland,222,Therapy Professionals,Using UK figure,0.5558715810800281
Northern Ireland,223,Nursing and Midwifery Professionals,,0.7729827193640515
Northern Ireland,231,Teaching and Educational Professionals,,0.7736777367773677
