occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
Associate Professional And Technical Occupations,CHESHIRE AND WARRINGTON,1996.0,2031.0,4570.0
Associate Professional And Technical Occupations,OXFORDSHIRE LEP,2382.0,2478.0,5041.0
Administrative And Secretarial Occupations,CORNWALL AND THE ISLES OF SCILLY,2732.0,1035.0,113.0
Administrative And Secretarial Occupations,SOUTH EAST,14066.0,5341.0,645.0
Administrative And Secretarial Occupations,SWANSEA BAY CITY REGION,1492.0,621.0,25.0
Administrative And Secretarial Occupations,GREATER LINCOLNSHIRE,2311.0,914.0,84.0
Administrative And Secretarial Occupations,NORTHERN IRELAND,8050.41,3550.08,273.2
Administrative And Secretarial Occupations,THAMES VALLEY BERKSHIRE,5535.0,2155.0,259.0
Administrative And Secretarial Occupations,SOUTH WEST ENGLAND,26438.120000000003,10270.13,1391.12
Administrative And Secretarial Occupations,"YORK, NORTH YORKSHIRE AND EAST RIDING",2936.0,1150.0,117.0
Administrative And Secretarial Occupations,LIVERPOOL CITY REGION,4605.0,1726.0,209.0
Administrative And Secretarial Occupations,SHEFFIELD CITY REGION,5673.0,2113.0,309.0
Administrative And Secretarial Occupations,CARDIFF CAPITAL REGION,1897.0,671.0,82.0
Administrative And Secretarial Occupations,LONDON,54064.0,21426.0,2352.0
Administrative And Secretarial Occupations,NORTH WEST ENGLAND,31839.079999999998,12738.57,1843.74
Administrative And Secretarial Occupations,WALES,10146.93,4185.71,412.18
Administrative And Secretarial Occupations,DORSET,3118.0,1210.0,117.0
Administrative And Secretarial Occupations,EAST OF ENGLAND,29079.550000000003,11303.469999999998,1600.71
Administrative And Secretarial Occupations,BELFAST METROPOLITAN AREA,4366.0,1876.0,48.0
Administrative And Secretarial Occupations,EAST MIDLANDS,20459.48,8316.31,1048.5
Administrative And Secretarial Occupations,WEST MIDLANDS,26116.29,10567.060000000001,1611.4
Administrative And Secretarial Occupations,SOUTH EAST MIDLANDS,9103.0,3567.0,430.0
Administrative And Secretarial Occupations,NORTH EAST ENGLAND,9234.76,4054.8,575.47
Administrative And Secretarial Occupations,LEICESTER AND LEICESTERSHIRE,4353.0,1786.0,174.0
Administrative And Secretarial Occupations,TEES VALLEY,1593.0,661.0,63.0
Administrative And Secretarial Occupations,BLACK COUNTRY,2232.0,888.0,98.0
Administrative And Secretarial Occupations,THE MARCHES,1533.0,588.0,59.0
Administrative And Secretarial Occupations,COVENTRY AND WARWICKSHIRE,4489.0,1681.0,193.0
Administrative And Secretarial Occupations,NEW ANGLIA,5198.0,2026.0,207.0
Administrative And Secretarial Occupations,HEART OF THE SOUTH WEST,6174.0,2377.0,274.0
Administrative And Secretarial Occupations,SOLENT,4687.0,1832.0,256.0
Administrative And Secretarial Occupations,LANCASHIRE,5481.0,2248.0,267.0
Administrative And Secretarial Occupations,LEEDS CITY REGION,11003.0,4251.0,544.0
Administrative And Secretarial Occupations,"DERBY, DERBYSHIRE, NOTTINGHAM AND NOTTINGHAMSHIRE",6435.0,2478.0,300.0
Administrative And Secretarial Occupations,GLASGOW CITY REGION,7622.0,2779.0,414.0
Administrative And Secretarial Occupations,HUMBER,1893.0,830.0,62.0
Administrative And Secretarial Occupations,GREATER CAMBRIDGE & GREATER PETERBOROUGH,7440.0,2837.0,349.0
Administrative And Secretarial Occupations,GREATER MANCHESTER,13487.0,5219.0,631.0
Administrative And Secretarial Occupations,WEST OF ENGLAND,7646.0,2816.0,259.0
Administrative And Secretarial Occupations,GLOUCESTERSHIRE,2637.0,968.0,99.0
Administrative And Secretarial Occupations,EDINBURGH AND THE LOTHIANS,6442.0,2418.0,378.0
Administrative And Secretarial Occupations,UK Total,314280.81,126894.47,19048.77
Administrative And Secretarial Occupations,GREATER BIRMINGHAM AND SOLIHULL,10068.0,3984.0,316.0
